,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,EState_VSA1,EState_VSA10,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,ExactMolWt,FractionCSP3,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,MaxAbsEStateIndex,MaxAbsPartialCharge,MaxEStateIndex,MaxPartialCharge,MinAbsEStateIndex,MinAbsPartialCharge,MinEStateIndex,MinPartialCharge,MolMR,NumValenceElectrons,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,TPSA,VSA_EState10,VSA_EState8,VSA_EState9,D_OH,D_NH2,D_O-CH3,D_1,D_2,D_3,D_4,D_5,D_6,D_7,D-§Ý C=C,D-§Ý C¡ÔC,D-§Ý Ring,§Ý_1§Ý,§Ý_2,§Ý_3,§Ý_4,§Ý_5,§Ý_6,§Ý_7,§Ý_8,§Ý_9,§Ý_C=C,§Ý_C¡ÔC,§Ý_A_C=C,§Ý_A Ring,A_1,A_2,A_3,A_4,A_5,A_6,A_7,A_8,A_9,A_10,A_11,A_12,C_§Ý,C_D,C_A,C,D->C=C<,D-N(6ring),D-N(5ring),D-N<(-Ring),D-N<(Ring),A->C=C<,A-CN3,A-N(TCF),A-N(6ring),A-N(5ring),A-C=O,A-C=C,pai-N(Thiophene),pai-N(Thiazole),pai-N(benzene),,,,
N#C/C(C#N)=C1NC(C(/C=C/C2=CC=C(/C=C/C3=CN=C(/C=C/C4=CC=C(C=C4)N(C5=C6SC=C5)C7=C6SC=C7)N=C3)S2)=C\1C#N)=O,1,2412.755,32.329,24.209,26.658,23.055,14.083,16.659,10.14,13.119,7.335,10.322,5.113,7.867,5.907,10.056,22.416,5.824,26.569,37.846,53.282,42.506,67.01,10.524,661.081,0,-6.16,89912066662,29.545,12.682,5.723,280.29,12.374,0.319,12.374,0.257,0.023,0.257,-0.531,-0.319,188.81,222,9.884,18.208,11.398,0,5.907,0,4.795,9.968,15.786,34.01,24.285,77.026,33.399,37.276,4.795,90.731,15.786,19.852,0,0,0,126.883,23.895,131.18,5.052,2.312,102.136,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,8,7,6,21,2,1,3,0,1,0,3,0,0,1,1,0,1,0,0,9.43,907.87,1.569362196,11.76420203
N#C/C(C#N)=C1NC(C(/C=C/C2=NC=C(/C=C/C3=CN=C(/C=C/C4=CC=C(C=C4)N(C5=C6SC=C5)C7=C6SC=C7)N=C3)S2)=C\1C#N)=O,1,2414.999,32.329,24.078,26.528,23.055,13.943,16.518,10.001,12.927,7.207,10.106,5.009,7.672,5.907,10.056,22.416,10.832,21.691,37.846,59.479,30.373,71.994,10.524,662.077,0,-6.23,89912066662,29.479,12.64,5.7,279.51,12.353,0.319,12.353,0.257,0.051,0.257,-0.559,-0.319,186.605,222,9.884,23.215,11.398,0,5.907,0,4.795,14.952,15.786,34.01,24.285,64.893,34.719,37.276,4.795,90.731,15.786,24.836,0,0,0,121.077,23.895,144.07,4.936,2.308,103.256,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,8,7,6,21,2,1,3,0,1,0,3,0,0,1,1,0,0,1,0,7.7804,854.34,1.399046139,11.76026074
N#C/C(C#N)=C1C2=CC=CC=C2C(C\1=C/C3=NC=C(C#CC4=CC=C(S4)/C=C/C5=CC=C(N(C)C)C=C5)S3)=O,1.342,1808.846,27.355,21.097,22.729,18.961,11.904,13.537,8.74,10.918,6.005,7.831,4.077,5.556,0,15.318,11.356,27.281,25.882,11.337,47.875,38.367,58.142,0,540.108,0.063,-5,1004030317,25.641,11.171,5.49,234.478,13.075,0.378,13.075,0.194,0.093,0.194,-0.223,-0.378,159.005,186,4.9,22.719,5.783,0,0,0,4.795,4.984,10.524,22.674,42.474,59.385,41.37,15.951,4.795,57.945,10.524,4.984,0,0,18.995,114.336,23.979,80.78,2.957,0,86.709,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,7,3,7,17,0,1,0,1,0,1,2,0,1,1,1,1,1,1,0,11.2482,751.03,1.715895503,11.759257
CC(C(F)(F)F)(O/C1=C(C#N)\C#N)C(/C=C/C2=NC(Cl)=C(/C=C/C3=NC(Cl)=C(S3)C4=CC=C(N(C5=C6SC=C5)C7C6SC=C7)C=C4)S2)=C1C#N,1.111,2315.864,35.371,25.197,29.975,23.966,14.405,18.616,10.97,15.779,8.127,13.228,5.711,10.303,34.256,28.957,16.203,20.288,40.465,40.116,29.558,23.895,49.931,27.939,779.968,0.147,-4.33,1.88E+11,34.134,13.091,5.742,309.344,14.152,0.47,14.152,0.432,0.102,0.432,-4.977,-0.47,193.8,248,9.637,44.102,11.332,5.601,0,6.176,0,9.968,28.957,45.772,47.487,59.702,16.138,26.733,17.908,98.577,15.786,9.968,0,29.993,4.9,105.826,28.648,109.62,19.045,42.456,69.554,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,5,5,16,2,1,3,0,1,0,3,1,0,1,0,0,0,2,0,14.8053,828.49,1.377467511,11.75852125
CC(O/C1=C(C#N)/C#N)(C(/C=C/C2=NC=C(/C=C/C3=NC=C(S3)C4=CC=C(N(C5=C6SC=C5)C7C6SC=C7)C=C4)S2)=C1C#N)C(F)(F)F,1.067,2202.071,33.631,24.596,27.862,23.145,14.174,17.629,10.754,14.91,7.998,12.198,5.613,9.44,34.256,28.957,0,16.299,39.013,51.453,12.266,41.448,62.064,4.737,712.046,0.147,-4.91,89333038869,31.677,12.274,5.351,288.737,14.09,0.47,14.09,0.432,0.326,0.432,-4.935,-0.47,183.78,236,9.637,33.796,11.332,5.601,0,6.176,0,9.968,28.957,45.772,24.285,59.702,33.408,21.856,17.908,75.375,15.786,9.968,0,29.993,4.9,107.914,28.648,109.62,6.439,42.271,74.791,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,5,5,16,2,1,3,0,1,0,3,1,0,1,0,0,0,2,0,15.0715,808.12,1.536164307,11.7577281
CC(C)(O/C1=C(C#N)/C#N)C(/C=C/C2=C(CCCC)C(CCCC)=C(S2)/C=C/C3=CC=C(/C=C/C4=CC=C(N(C5=CC=CC=C5)C6=CC=CC=C6)C=C4)S3)=C1C#N,1.244,2401.138,40.202,32.958,34.591,27.792,19.473,21.106,14.274,16.504,9.872,12.093,6.924,8.947,5.601,15.786,16.905,5.573,61.151,30.635,22.674,44.195,140.126,4.737,782.311,0.22,-6.17,6.54E+12,40.492,19.12,9.625,345.296,10.078,0.48,10.078,0.172,0.064,0.172,-0.856,-0.48,239.932,284,9.637,29.382,11.332,0,0,0,0,0,15.786,22.674,87.372,129.056,42.144,0,4.737,70.116,15.786,0,0,71.821,4.9,161.815,18.208,83.84,3.546,0,116.704,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,7,9,5,21,0,3,0,1,0,0,3,1,0,1,0,0,2,0,0,20.0196,1053.09,1.799080707,11.75542894
N#C/C(C#N)=C1C2=CC=CC=C2C(C\1=C/C3=NC=C(S3)/C=C/C4=CC=C(/C=C/C5=CC=C(C=C5)N(C6=CC=CC=C6)C7=CC=CC=C7)S4)=O,1.044,2309.287,33.581,26.025,27.658,24.106,15.439,17.072,11.012,13.253,7.917,9.843,5.641,7.222,0,15.318,11.356,27.281,37.257,11.337,47.875,36.423,106.965,0,666.155,0,-6.38,2.75E+11,31.231,14.168,6.717,292.174,13.196,0.311,13.196,0.194,0.085,0.194,-0.211,-0.311,202.309,232,4.9,22.719,5.783,0,0,0,4.795,4.984,10.524,22.674,78.872,83.962,54.6,0,4.795,81.472,10.524,4.984,0,0,4.9,175,12.138,80.78,3.123,0,104.877,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,7,9,7,23,0,3,0,1,0,1,2,0,1,1,1,1,1,1,0,8.4042,884.19,1.680820028,11.75522762
CC(C(/C=C/C1=CC=C(/C=C/C2=CC=C(S2)/C=C/C3=CC=C(C=C3)N(C4=C5SC=C4)C6=C5SC=C6)S1)=C/7C#N)(C(F)(F)F)OC7=C(C#N)\C#N,1.04,2498.213,35.045,25.856,29.122,24.128,14.882,18.274,11.138,15.265,8.109,12.112,5.58,9.151,34.256,28.957,0,4.877,32.806,56.061,46.146,30.351,63.877,4.737,734.055,0.079,-5.42,2.31E+11,33.095,13.128,5.913,300.12,14.106,0.47,14.106,0.432,0.466,0.432,-4.91,-0.47,198.499,244,9.304,23.781,11.332,5.601,0,6.176,0,0,28.957,45.347,24.285,96.082,30.769,20.433,17.908,96.16,15.786,4.567,0,18.701,0,125.05,23.895,85.53,6.529,44.627,75.011,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,7,7,5,19,2,1,3,0,1,0,3,1,0,1,0,0,2,0,0,16.4368,954.61,1.884361187,11.75491235
N#C/C(C#N)=C1C2=CC=CC=C2C(C\1=C/C3=NC(Cl)=C(S3)/C=C/C4=NC=C(/C=C/C5=CC=C(C=C5)N(C)C)S4)=O,1.359,1809.868,28.225,21.422,23.811,19.372,12.04,14.051,8.867,11.381,6.091,8.386,4.128,5.977,0,15.318,16.929,31.738,21.136,11.337,41.678,50.659,45.209,11.601,577.08,0.065,-4.6,1429430791,26.985,11.647,5.562,244.312,13.132,0.378,13.132,0.194,0.119,0.194,-0.256,-0.378,164.758,194,4.9,32.88,5.783,0,0,0,4.795,9.968,10.524,22.674,54.075,47.564,47.566,4.877,4.795,81.698,10.524,9.968,0,0,18.995,107.487,12.138,93.67,9.265,0,84.18,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,7,3,7,17,0,1,0,1,0,1,2,0,1,1,1,1,0,2,0,14.3633,757.82,1.689963054,11.75216346
N#C/C(C#N)=C1C2=CC=CC=C2C(C\1=C/C3=NC=C(S3)/C=C/C4=CC=C(/C=C5C(C)(C6=CC=CC=C6N\5C)C)S4)=O,1.242,1918.453,28.725,22.674,24.307,19.811,13.014,14.647,10.311,12.552,7.517,9.424,5.508,7.124,0,15.318,16.771,27.281,9.754,33.162,47.875,18.214,79.329,0,568.139,0.118,-4.82,2866081270,26.405,10.296,4.558,246.514,13.151,0.347,13.151,0.194,0.072,0.194,-0.203,-0.347,168.104,198,4.9,22.719,5.783,0,0,0,4.795,4.984,10.524,22.674,56.312,53.63,61.385,0,4.795,64.021,10.524,4.984,0,19.262,11.948,120.033,12.138,80.78,3.171,0,88.412,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,7,3,7,17,1,1,1,0,1,1,2,0,1,1,1,1,1,1,0,10.523,769.38,1.799380032,11.74615791
CC(C1=CC=CC=C1N/2C)(C)C2=C\C(S3)=CC4=C3/C(CC4)=C5CCC6=C\5SC(/C=C/C(C(C)(C)O/7)=C(C#N)C7=C(C#N)\C#N)=C6,1.203,2072.162,31.673,26.038,27.671,21.566,15.174,16.807,12.968,15.136,9.556,11.942,7.299,9.761,5.601,15.786,22.32,5.573,30.56,53.852,11.337,49.475,74.338,4.737,624.202,0.289,-4.61,17746419519,29.12,10.49,4.519,272.165,9.885,0.48,9.885,0.172,0.044,0.172,-0.819,-0.48,183.031,222,9.637,29.382,11.332,0,0,0,0,0,15.786,22.674,38.123,97.718,48.929,0,4.737,51.659,15.786,0,0,64.394,11.948,106.849,18.208,83.84,3.736,0,92.431,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,6,3,5,14,1,1,1,0,1,0,3,1,0,1,0,0,0,0,0,22.2605,862.16,1.819489245,11.73392102
N#CC(/C(N1)=C(C#N)\C#N)=C(/C=C/C2=C(CCCC)C(CCCC)=C(S2)/C=C/C3=CN=C(C4=CC=C(C=C4)N(C5=CC=CC=C5)C6=CC=CC=C6)N=C3)C1=O,1.27,2347.565,38.572,30.789,31.606,26.986,18.33,19.147,12.883,13.967,9.24,10.445,6.42,7.626,5.907,20.58,22.416,5.824,76.468,11.127,29.551,79.146,66.538,9.968,737.294,0.174,-6.86,3.01E+12,37.883,18.257,8.689,325.923,12.859,0.319,12.859,0.257,0.002,0.257,-0.51,-0.319,220.69,270,10.217,18.208,11.398,0,5.907,0,4.795,9.968,15.786,11.337,69.163,103.569,50.337,16.843,4.795,52.534,15.786,15.285,0,52.372,4.9,152.26,29.596,129.49,1.644,0,121.19,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7,9,6,22,0,3,0,1,0,0,3,0,0,1,1,0,1,0,0,13.6765,948.24,1.487347082,11.72338375
FC(F)(C(C(/C=C/C1=C(CCCC)C(CCCC)=C(/C=C/C2=CC3=CC=C(N(CC)CC)C=C3O2)S1)=C/4C#N)(C(F)(F)F)OC4=C(C#N)/C#N)F,1.898,1973.954,37.562,28.557,29.374,24.24,16.558,17.374,11.812,12.895,8.683,9.888,6.042,7.248,40.432,42.128,0,41.559,65.506,29.544,6.076,44.189,23.484,4.417,726.246,0.395,-4.93,1.01E+11,38.865,15.955,7.573,296.373,14.503,0.461,14.503,0.442,0.42,0.442,-6.107,-0.461,186.097,268,14.054,35.124,11.332,0,0,17.954,0,0,42.128,11.337,32.765,87.085,45.557,0,35.497,46.221,15.786,0,0,84.174,17.989,79.461,18.208,96.98,1.201,93.149,49.733,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,4,5,13,1,1,1,1,0,0,3,1,0,1,0,0,1,0,0,20.4397,824.96,1.713147154,11.72282122
N#C/C(C#N)=C1NC(C(C2=CC=C(C3=CN=C(/C=C/C4=CC5=CC=C(C=C5O4)N(CC)CC)N=C3)C=C2)=C/1C#N)=O,1.335,1853.945,28.932,22.342,22.342,19.986,12.892,12.892,9.073,9.073,6.778,6.778,4.656,4.656,5.907,10.056,22.416,17.148,40.873,0,54.874,18.212,52.231,14.941,537.191,0.125,-5.98,2533733739,26.62,11.409,5.185,236.144,12.557,0.457,12.557,0.257,0.033,0.257,-0.541,-0.457,155.099,198,14.634,29.551,11.398,0,5.907,0,4.795,9.968,15.786,0,24.265,55.326,48.187,16.843,9.212,40.289,15.786,15.285,0,13.847,17.989,94.916,29.335,142.63,0,6.016,93.151,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7,4,6,17,1,1,1,1,0,0,3,0,0,1,1,0,0,0,1,11.137,655.39,1.119503583,11.71173976
CC(C(F)(F)F)(O/C1=C(C#N)/C#N)C(/C=C/C2=NC=C(/C=C/C3=CN=C(C4=CC=C(N(C5=C6SC=C5)C7C6SC=C7)C=C4)N=C3)S2)=C1C#N,1.051,2228.254,34.338,25.212,27.662,23.645,14.536,17.175,11.032,14.125,8.17,11.358,5.698,8.699,34.256,28.957,0,27.001,29.814,40.116,48.149,23.895,54.915,4.737,707.084,0.143,-5.46,1.51E+11,32.105,12.53,5.62,290.317,14.082,0.47,14.082,0.432,0.312,0.432,-4.941,-0.47,183.698,240,9.637,28.788,17.157,5.601,0,6.176,0,14.952,28.957,34.435,18.228,60.196,50.732,16.979,17.908,64.038,15.786,14.952,0,29.993,4.9,114.666,29.596,122.51,4.867,42.246,79.553,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,7,5,5,17,2,1,3,0,1,0,3,1,0,1,0,0,1,0,0,13.1524,785.21,1.419536311,11.70326287
O=S(C1=C/C2=CC=C(/C=C/C3=CN=C(/C=C/C4=CC5=CC=C(N(CC)CC)C=C5O4)N=C3)C=C2)(C6=CC=CC=C6C/1=C(C#N)\C#N)=O,1.153,2278.268,32.968,25.753,26.569,22.837,15.021,16.504,10.733,12.619,7.898,9.734,5.469,7.196,9.837,18.942,20.947,16.951,46.633,12.142,42.726,54.642,46.914,4.417,635.199,0.105,-6.03,50900114397,30.973,13.139,6.257,273.033,13.332,0.457,13.332,0.207,0.059,0.207,-3.89,-0.457,185.856,230,9.317,29.055,5.824,9.837,0,0,0,18.386,10.524,0,54.617,67.468,59.323,9.801,12.835,62.447,10.524,9.968,0,18.743,17.989,129.507,12.138,123.88,-3.89,32.7,81.274,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,9,4,8,21,1,1,1,1,0,1,2,0,1,1,0,1,0,0,1,7.1416,796.17,1.48985053,11.70276782
N#C/C(C#N)=C1C2=CC=CC=C2C(C\1=C/C3=NC(Cl)=C(/C=C/C4=CC=C(C=C4)/C=C5C(C)(C6=CC=CC=C6N\5C)C)S3)=O,1.249,1996.714,30.302,23.721,25.293,20.722,13.632,14.826,10.844,12.264,7.93,9.298,5.756,6.881,0,15.318,22.344,26.861,16.004,28.285,30.341,24.29,85.386,11.601,596.144,0.111,-5.01,6381400520,28.126,11.003,4.915,259.177,13.199,0.347,13.199,0.194,0.09,0.194,-0.247,-0.347,175.237,208,4.9,27.872,5.783,0,0,0,4.795,4.984,10.524,11.337,98.254,46.548,40.557,4.877,4.795,64.286,10.524,4.984,0,19.262,11.948,132.495,12.138,80.78,7.811,0,89.716,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,3,7,17,1,1,1,0,1,1,2,0,1,1,1,1,0,1,1,11.9274,756.09,1.699677518,11.69969732
CC(O/C1=C(C#N)/C#N)(C(/C=C/C2=NC=C(/C=C/C3=NC=C(S3)C4=CC=C(N(C5=CC=CC=C5)C6=CC=CC=C6)C=C4)S2)=C1C#N)C(F)(F)F,1.191,2228.81,35.305,26.089,27.722,24.145,14.888,16.521,10.845,13.001,7.707,9.646,5.175,6.725,34.256,28.957,0,5.008,50.387,40.888,18.463,48.55,63.399,4.737,700.133,0.079,-6.26,2.04E+11,33.634,14.073,6.693,293.272,14.109,0.47,14.109,0.432,0.372,0.432,-4.942,-0.47,188.745,244,9.637,33.796,11.332,5.601,0,6.176,0,9.968,28.957,22.674,54.607,67.113,39.906,4.877,17.908,57.964,15.786,9.968,0,18.701,4.9,140.77,28.648,109.62,2.723,42.327,84.116,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,9,5,20,0,3,0,1,0,0,3,1,0,1,0,0,0,2,0,18.0645,831.47,1.52285794,11.69894966
CC(C(/C=C/C1=CC=C(/C=C/C2=CN=C(N=C2)/C=C/C3=CC=C(C=C3)N(C)C)C=C1)=C4C#N)(O/C4=C(C#N)/C#N)C(F)(F)F,1.471,1794.883,31.907,23.963,23.963,20.983,13.18,13.18,9.989,9.989,6.793,6.793,4.202,4.202,34.256,18.433,0,11.388,35.377,18.214,42.728,67.565,9.968,15.261,590.204,0.147,-5.92,4467160045,31.025,12.938,6.754,252.648,14.006,0.47,14.006,0.432,0.491,0.432,-4.919,-0.47,162.569,218,9.637,23.781,17.157,5.601,0,6.176,0,9.968,28.957,0,66.778,41.823,43.313,0,17.908,36.067,15.786,9.968,0,18.701,18.995,117.557,18.208,109.62,0,42.018,76.148,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,9,3,5,17,0,1,0,1,0,0,3,1,0,1,0,0,0,0,1,17.721,746.38,1.691840639,11.69605908
CC(O/C1=C(C#N)/C#N)(C(/C=C/C2=CC=C(S2)/C=C/C3=CN=C(C#CC4=CC=C(C=C4)N(C5C6SC=C5)C7=C6SC=C7)N=C3)=C1C#N)C(F)(F)F,1.017,2370.849,35.752,26.342,28.792,24.628,15.176,17.815,11.421,14.568,8.358,11.634,5.779,8.872,34.256,28.957,0,21.993,34.691,40.116,48.008,29.971,61.772,4.737,730.089,0.132,-5.83,3.91E+11,33.657,13.471,6.243,302.826,14.092,0.47,14.092,0.432,0.324,0.432,-4.926,-0.47,192.889,248,9.637,23.781,11.332,11.425,0,6.176,0,9.968,28.957,34.435,24.148,78.249,49.413,16.979,17.908,64.038,15.786,9.968,0,29.993,4.9,131.86,30.049,109.62,4.974,42.275,83.417,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,8,5,5,18,2,1,3,0,1,0,3,1,0,1,0,0,1,0,0,16.094,877.65,1.613199737,11.69590698
CC(C(/C=C/C1=NC(Cl)=C(/C=C/C2=CC=C(N(C3=CC=CC=C3)C4=CC=CC=C4)C=C2)S1)=C5C#N)(O/C5=C(C#N)/C#N)C(F)(F)F,1.409,1957.469,32.899,23.957,25.529,22.089,13.575,14.77,9.933,11.353,7.046,8.432,4.703,5.788,34.256,28.957,10.161,4.877,46.962,18.214,12.145,91.005,9.884,16.338,651.111,0.086,-5.6,18732306345,31.813,13.177,6.291,271.659,14.11,0.47,14.11,0.432,0.143,0.432,-4.963,-0.47,172.647,226,9.637,33.942,11.332,5.601,0,6.176,0,4.984,28.957,11.337,72.284,61.037,22.635,4.877,17.908,58.228,15.786,4.984,0,18.701,4.9,134.085,18.208,96.73,7.483,42.331,72.964,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4,9,5,18,0,3,0,1,0,0,3,1,0,1,0,0,0,1,0,15.6827,748.03,1.731977432,11.69302652
N#C/C(C#N)=C1C2=CC=CC=C2C(C\1=C/C3=NC(Cl)=C(/C=C/C4=CC=C(/C=C/C5=CC=C(N(C6=CC=CC=C6)C7=CC=CC=C7)C=C5)C=C4)S3)=O,1.048,2390.397,35.158,27.072,28.644,25.017,16.057,17.251,11.545,12.965,8.335,9.702,5.883,7.007,0,15.318,16.929,26.861,38.63,11.337,30.341,72.821,82.7,11.601,694.159,0,-6.57,6.02E+11,32.952,14.904,7.105,304.837,13.243,0.311,13.243,0.194,0.118,0.194,-0.254,-0.311,209.442,242,4.9,27.872,5.783,0,0,0,4.795,4.984,10.524,11.337,126.891,70.804,33.772,4.877,4.795,81.736,10.524,4.984,0,0,4.9,187.461,12.138,80.78,7.818,0,106.126,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,8,9,7,24,0,3,0,1,0,1,2,0,1,1,1,1,0,1,1,10.6325,882.24,1.636492683,11.68689517
CC(C1=CC=CC=C1N2C)(/C2=C\C3=CN=C(C#CC4=CN=C(/C=C/C(C(C)(C)O/C5=C(C#N)/C#N)=C5C#N)S4)S3)C,1.347,1867.152,29.363,23.104,24.737,19.583,12.646,14.279,10.385,12.51,7.017,8.754,4.979,6.36,5.601,15.786,22.32,10.581,14.762,28.285,55.672,6.197,84.015,4.737,572.145,0.219,-4.93,1640611980,27.63,10.566,5.059,246.845,9.702,0.48,9.702,0.172,0.013,0.172,-0.876,-0.48,161.145,200,9.637,34.389,16.34,0,0,0,0,9.968,15.786,22.674,38.123,49.47,40.494,11.074,4.737,40.513,15.786,9.968,0,38.711,11.948,96.244,30.049,109.62,2.955,0,91.545,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,3,5,14,1,1,1,0,1,0,3,1,0,1,0,0,0,2,0,18.4816,735.52,1.659676782,11.68285618
O=S(C1=C/C2=NC(Cl)=C(S2)C#CC3=CC4=CC=C(C=C4O3)N(CC)CC)(C5=CC=CC=C5C/1=C(C#N)\C#N)=O,1.522,1938.466,27.733,20.818,23.207,18.798,11.882,14.559,8.409,11.684,6.244,9.383,4.391,7.226,9.837,18.942,31.108,16.201,41.083,12.142,30.338,24.265,35.572,16.018,570.059,0.138,-4.33,749756780.4,26.284,10.44,4.711,234.349,13.307,0.448,13.307,0.208,0.033,0.208,-3.976,-0.448,152.63,192,9.317,33.179,10.913,9.837,0,0,0,13.402,10.524,11.337,29.8,49.963,47.432,9.801,12.835,61.081,10.524,4.984,0,18.743,17.989,85.371,23.979,110.99,3.465,32.548,60.349,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,4,8,16,1,1,1,1,0,1,2,0,1,1,0,1,0,1,0,9.4377,665.57,1.668738174,11.67679854
N#C/C(C#N)=C1C2=CC=CC=C2C(C/1=C\C3=CC=C(S3)/C=C/C4=CC=C(/C=C/C5=CC6=CC=C(C=C6O5)N(CC)CC)C=C4)=O,1.15,2104.936,31.338,24.95,25.767,22.003,14.762,15.578,10.523,11.67,7.831,8.828,5.507,6.365,0,15.318,11.356,22.273,50.7,17.024,24.275,54.642,67.278,4.417,603.198,0.103,-5.69,24740864117,29.385,12.895,6.058,266.135,13.174,0.457,13.174,0.194,0.059,0.194,-0.173,-0.457,185.287,218,9.317,29.055,5.783,0,0,0,4.795,0,10.524,11.337,60.683,79.098,56.693,0,9.212,69.73,10.524,0,0,13.847,17.989,133.844,12.138,81.03,1.536,6.099,92.032,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,8,4,7,19,1,1,1,1,0,1,2,0,1,1,1,1,1,0,1,11.5305,829.55,1.677690719,11.67600681
